"Term","Label","Description","domain","range","ParentProperty","RelatedTerms","Relation","Comment","Source","CreationDate","Modified","Status","Contributors","Resolution","","","","","","","","","","","","",""
"hasName","has name","Specifies name of a legal entity","","","","","","","","2020-11-04","","accepted","Harshvardhan J.Pandit, Georg P Krog, Paul Ryan, Beatriz Esteves","https://www.w3.org/community/dpvcg/wiki/Workshop20201104","","","","","","","","","","","","",""
"hasAddress","has address","Specifies address of a legal entity such as street address or pin code","","","","","","","","2020-11-04","","accepted","Harshvardhan J.Pandit, Georg P Krog, Paul Ryan, Beatriz Esteves","https://www.w3.org/community/dpvcg/wiki/Workshop20201104","","","","","","","","","","","","",""
"hasContact","has contact","Specifies contact details of a legal entity such as phone  or email","","","","","","","","2020-11-04","","accepted","Harshvardhan J.Pandit, Georg P Krog, Paul Ryan, Beatriz Esteves","https://www.w3.org/community/dpvcg/wiki/Workshop20201104","","","","","","","","","","","","",""
"hasIdentifier","has identifier","Specifies an identifier for the entity such as registeration number or official ID","","","","","","","","2020-11-25","","accepted","Harshvardhan J.Pandit, Georg P Krog, Paul Ryan, Beatriz Esteves","https://www.w3.org/2020/11/25-dpvcg-minutes.html","","","","","","","","","","","","",""
"hasRepresentative","has representative","Specifies representative of the legal entity","","","","","","","","2020-11-04","","accepted","Harshvardhan J.Pandit, Georg P Krog, Paul Ryan, Beatriz Esteves","https://www.w3.org/community/dpvcg/wiki/Workshop20201104","","","","","","","","","","","","",""
"hasEntity","","Indicates inclusion or applicability of an entity to some concept","","dpv:Entity","","","","parent property for controller, processor, data subject, authority, etc.?","","","","proposed","","","","","","","","","","","","","","",""
"hasDataExporter","","Indiciates inclusion or applicability of a LegalEntity in the role of Data Exporter","","dpv:DataExporter","","","","","","","","proposed","","","","","","","","","","","","","","",""
"hasDataImporter","","Indiciates inclusion or applicability of a LegalEntity in the role of Data Importer","","dpv:DataImporter","dpv:hasRecipient","","","","","","","proposed","","","","","","","","","","","","","","",""
"hasDataProcessor","","Indiciates inclusion or applicability of a Data Processor","","dpv:DataProcessor","dpv:hasRecipient","","","","","","","proposed","","","","","","","","","","","","","","",""
"hasRecipientDataController","","Indiciates inclusion or applicability of a Data Controller as a Recipient of persona data","","dpv:DataController","dpv:hasRecipient","","","","","","","proposed","","","","","","","","","","","","","","",""
"hasRecipientThirdParty","","Indiciates inclusion or applicability of a Third Party as a Recipient of persona data","","dpv:ThirdParty","dpv:hasRecipient","","","","","","","proposed","","","","","","","","","","","","","","",""